model,word,dominant_class,avg_weight,avg_abs_weight,n_occurrences
SGDClassifier,planos,real,-0.01695709763726174,0.01695709763726174,1
SGDClassifier,plástico,fake,0.018299643927603613,0.018299643927603613,1
SGDClassifier,pode,real,-0.048323170763302704,0.048323170763302704,6
SGDClassifier,política,real,-0.043689187248225465,0.043689187248225465,3
SGDClassifier,político,real,-0.07411558927814792,0.07411558927814792,3
SGDClassifier,pop,fake,0.000819895603679814,0.000819895603679814,1
SGDClassifier,por,fake,0.029275697502793494,0.029275697502793498,15
SGDClassifier,postagem,real,-0.019737281925973866,0.019737281925973866,3
SGDClassifier,postagens,real,-0.04288021467186689,0.04288021467186689,1
SGDClassifier,postar,real,-0.05523774002059577,0.05523774002059577,1
SGDClassifier,poste,real,-0.07203769793224392,0.07203769793224392,2
SGDClassifier,pouco,real,-0.06830926162484963,0.06830926162484963,3
SGDClassifier,poucos,fake,0.022321997079440003,0.022321997079440003,1
SGDClassifier,povinho,fake,0.07073055600861722,0.07073055600861722,1
SGDClassifier,povo,fake,0.061695774730580674,0.061695774730580674,11
SGDClassifier,pra,fake,0.04013911618030608,0.04013911618030607,8
SGDClassifier,precisam,fake,0.0282222859621508,0.0282222859621508,3
SGDClassifier,prefeitura,fake,0.03343484390622352,0.03343484390622352,1
SGDClassifier,prefiro,fake,0.056300114665864945,0.056300114665864945,2
SGDClassifier,presença,real,-0.030883965633789947,0.030883965633789947,2
SGDClassifier,presidente,real,-0.07277284786034197,0.07277284786034197,3
SGDClassifier,preso,real,-0.03931733808668526,0.03931733808668526,1
SGDClassifier,pressionar,fake,0.05989994799572378,0.05989994799572378,1
SGDClassifier,pretende,fake,0.02572175012980626,0.02572175012980626,1
SGDClassifier,primeiras,real,-0.04220095899605187,0.04220095899605187,1
SGDClassifier,primeiro,fake,0.04953170367989375,0.04953170367989375,4
SGDClassifier,principalmente,real,-0.06600336761013958,0.06600336761013958,1
SGDClassifier,pro,real,-0.04160596973783093,0.04160596973783093,1
SGDClassifier,problema,real,-0.043971996759541165,0.043971996759541165,3
SGDClassifier,produção,real,-0.10335948600096997,0.10335948600096997,1
SGDClassifier,professor,fake,0.0787140564119796,0.0787140564119796,1
SGDClassifier,professora,fake,0.07237340398044188,0.07237340398044188,1
SGDClassifier,professores,fake,0.05205713002856277,0.05205713002856277,2
SGDClassifier,prol,real,-0.014407521087866004,0.014407521087866004,1
SGDClassifier,prometeu,real,-0.06831178661347677,0.06831178661347677,1
SGDClassifier,propaganda,fake,0.04491748938369892,0.04491748938369892,1
SGDClassifier,proposta,real,-0.05971608756956705,0.05971608756956705,2
SGDClassifier,proprio,real,-0.09094756552864038,0.09094756552864038,1
SGDClassifier,prédio,real,-0.04380485319372235,0.04380485319372235,1
SGDClassifier,puder,real,-0.1111497607447699,0.1111497607447699,1
